medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
cecum,cecum,A pouch at the beginning of the large intestine.,1,0.93,2,Discharge Summary - 14,ABC apparently could not advance the scope into the cecum and therefore warranted a barium enema.,,,
cerebral,cerebral,"Related to the part of the brain that controls thinking, learning, and movement.",1,0.93,2,Discharge Summary - 1,"On 3/26/2006, MRI/MRA of the neck and brain, with and without contrast: 1) Changes consistent with an infarct involving the right basal ganglia and deep white matter of the left parietal lobe, as described above; 2) Diffuse smooth narrowing of the left middle cerebral artery that may be a congenital abnormality.",,,
cerebral palsy,Cerebral palsy,Cerebral palsy is a condition that affects movement due to damage in the brain.,1,0.93,2,Discharge Summary - Cerebral Palsy,"Cerebral palsy.,DISCHARGE INSTRUCTIONS: , The patient would be discharged on his usual Valium 10-20 mg at bedtime for spasticity, Flomax 0.4 mg daily, cefazolin 500 mg q.i.d., and Lotrimin cream between toes b.i.d.",,,
cervical spine,cervical spine,The top seven vertebrae in your neck.,1,0.93,2,Discharge Summary - ATV Accident,This was confirmed with radiographic imaging showing that the chest and pelvis x-rays were negative for any acute injury and that the cervical spine x-ray was negative for fracture malalignment.,,,
chemistries,Chemistries,Looking for different stuff in blood.,1,0.93,2,Knee Surgery - Discharge Summary,Chemistries were within normal limits.,,,
chest tube,chest tube,A tube inserted into the chest to remove air or fluid.,1,0.93,2,Death Summary - 1,"Advanced non-small cell lung carcinoma with left malignant pleural effusion status post chest tube insertion status post chemical pleurodesis.,2.",,,
choledocholithiasis,choledocholithiasis,A stone in the bile duct that blocks fluids.,1,0.93,2,Cholecystitis - Discharge Summary,"REASON FOR ADMISSION: , Cholecystitis with choledocholithiasis.,DISCHARGE DIAGNOSES: , Cholecystitis, choledocholithiasis.,ADDITIONAL DIAGNOSES,1.",,,
cholestasis,cholestasis,"Cholestasis is when the flow of bile, a digestive fluid, becomes blocked or slowed down.",1,0.93,2,Cholestasis Of Pregnancy,"FINAL DIAGNOSES:, Delivered pregnancy, cholestasis of pregnancy, fetal intolerance to labor, failure to progress.,PROCEDURE: , Included primary low transverse cesarean section.,SUMMARY: , This 32-year-old gravida 2 was induced for cholestasis of pregnancy at 38-1/2 weeks.",,,
clindamycin,clindamycin,A medication that fights infections caused by specific types of bacteria.,1,0.93,2,Pneumonia & COPD - Discharge Summary,The patient will continue with clindamycin for the next 2 weeks after discharge.,,,
clonidine,clonidine,A medication for high blood pressure that can also help with anxiety and pain by relaxing blood vessels.,1,0.93,2,Discharge Summary - 15,"Autism.,DIET ON DISCHARGE:, Regular for age.,MEDICATIONS ON DISCHARGE: , Adderall and clonidine for attention deficit hyperactivity disorder.,ACTIVITY ON DISCHARGE: , As tolerated.,DISPOSITION ON DISCHARGE: , Follow up with Dr.",,,
colon cancer,Colon cancer,A type of cancer that grows in the colon's tissues.,1,0.93,2,Multiple Medical Problems - Discharge Summary,"Colon cancer, status post right hemicolectomy.,2.",,,
cone,cone,It's the part of your eye that helps you see in different lighting conditions.,1,0.93,2,Hysterectomy - Discharge Summary - 2,Biopsy showed a microinvasive carcinoma of the cervix and a cone biopsy was performed on 02/12/2007 also showing microinvasive carcinoma with a 1 mm invasion.,,,
conjunctivitis,conjunctivitis,"When the thin layer over your eye turns red and swollen, it's called conjunctivitis.",1,0.93,2,Kawasaki Disease - Discharge Summary,"ADMITTING DIAGNOSIS: , Kawasaki disease.,DISCHARGE DIAGNOSIS:, Kawasaki disease, resolving.,HOSPITAL COURSE:, This is a 14-month-old baby boy Caucasian who came in with presumptive diagnosis of Kawasaki with fever for more than 5 days and conjunctivitis, mild arthritis with edema, rash, resolving and with elevated neutrophils and thrombocytosis, elevated CRP and ESR.",,,
contact dermatitis,contact dermatitis,A skin rash from something touching your skin that might be irritating or triggering an allergic reaction.,1,0.93,2,Knee Surgery - Discharge Summary,"She reports that she had been doing quite a bit of gardening just prior to surgery and this was most likely contact dermatitis, most likely due to her gardening activities preoperatively.",,,
core,core,Collecting a cylindrical tissue sample by inserting a needle through the skin.,1,0.93,2,Discharge Summary - 17,"Hepatitis B core IgM negative, and hepatitis C core antibody was negative.",,,
cpk,CPK,High CPK levels in a blood test could mean there's tissue damage.,1,0.93,2,Discharge Summary - 18,"After reevaluation of the patient including evaluation of the lab abnormalities it was felt that she likely had serotonin syndrome with obvious restlessness, increased bowel activity, agitation, and elevated white count and CPK.",,,
critical care,Critical Care,Treating patients with severe medical conditions.,1,0.93,2,Death Summary,"Pulmonary was managed by Critical Care, Dr.",,,
curettage,curettage,Curettage is the removal of tissue using a spoon-shaped tool with a sharp edge.,1,0.93,2,D&C - Discharge Summary,"Dilatation and curettage (D&C).,3.",,,
cytoxan,Cytoxan,A medicine used in cancer treatment that blocks cells from growing.,1,0.93,2,Leiomyosarcoma,"Cycle six of CIVI-CAD (Cytoxan, Adriamycin, and DTIC) from 07/22/2008 to 07/29/2008.,2.",,,
decubitus,Decubitus,Decubitus means lying down.,1,0.93,2,Discharge Summary - Multiple Trauma,"Decubitus ulcer, lower back.,3.",,,
digitalis,digitalis,A medication made from dried foxglove leaves used to help with certain heart problems.,1,0.93,2,Discharge Summary - 12,She also has renal insufficiency and digitalis toxicity.,,,
dilated cardiomyopathy,dilated cardiomyopathy,"The heart is enlarged and weak, struggling to pump blood effectively in dilated cardiomyopathy.",1,0.93,2,Renal Disease - Discharge Summary,"and lisinopril 10 mg daily secondary to his hypertension, congestive heart failure with dilated cardiomyopathy and end-stage renal disease.",,,
diverticular,diverticular,Related to pouches in the colon.,1,0.93,2,Discharge Summary - 2,"Status post diverticular bleed.,DISCHARGE MEDICATIONS:,1.",,,
donor,Donor,"Someone who donates blood, cells, tissue, or an organ to help another person.",1,0.93,2,Chronic Abscesses - Discharge Summary,Donor sites were truncated.,,,
dosage,dosage,The dosage is just the amount of medicine you're supposed to take at once.,1,0.93,2,Multiple Medical Problems - Discharge Summary,Neurology felt that the only necessary intervention at that time would be to increase her Lamictal to 150 mg in the morning and 100 mg in the evening with gradual increase of the dosage until she was on 200 mg b.i.d.,,,
egd,EGD,"A procedure that checks the food pipe, stomach, and first part of the small bowel.",1,0.93,2,Discharge Summary - 14,She had an EGD and colonoscopy with Dr.,,,
end-stage liver disease,End-stage liver disease,When your liver is barely working and it's about to fail.,1,0.93,2,Discharge Summary - Respiratory Failure,"End-stage liver disease.,HISTORY AND HOSPITAL COURSE: ,The patient was admitted after undergoing a drawn out process with a small bowel obstruction.",,,
endocrinologist,endocrinologist,A doctor who specializes in treating hormone-related health issues.,1,0.93,2,Multiple Medical Problems - Discharge Summary,"status and the changing rates of tube feedings throughout her hospital course.,At discharge, her endocrinologist was contacted.",,,
endometrial,endometrial,Relating to the inside lining of the uterus.,1,0.93,2,D&C - Discharge Summary,"Myomectomy.,COMPLICATIONS: , Large endometrial cavity fibroid requiring careful dissection and excision.,BLOOD TRANSFUSIONS: , Two units of packed red blood cells.,INFECTION: , None.,SIGNIFICANT LAB AND X-RAY: , Posttransfusion of the 2nd unit showed her hematocrit of 25, hemoglobin of 8.3.,HOSPITAL COURSE AND TREATMENT: , The patient was admitted to the surgical suite and taken to the operating room where a dilatation and curettage (D&C) was performed.",,,
exploratory laparotomy,Exploratory laparotomy,Surgery to check for problems in your belly.,1,0.93,2,Discharge Summary - 4,"Exploratory laparotomy, right hemicolectomy, cholecystectomy, splenectomy, omentectomy, IPHC with mitomycin-C.,HOSPITAL COURSE: , The patient is a pleasant 56-year-old gentleman with no significant past medical history who after an extensive workup for peritoneal carcinomatosis from appendiceal primary was admitted on MM/DD/YYYY.",,,
fahrenheit,Fahrenheit,A way of measuring temperature that sets the boiling point of water at 212 degrees and the freezing point at 32 degrees.,1,0.93,2,Cholestasis Of Pregnancy,"There was a slightly enlarged blood loss at approximately 1200 mL, and postoperatively, the patient was noted to have a very mild tachycardia coupled with 100.3 degrees Fahrenheit temperature right at delivery.",,,
femoral neck,femoral neck,The femoral neck is the part of your thigh bone below the femoral head that can break easily.,1,0.93,2,Hemiarthroplasty - Discharge Summary,"ADMISSION DIAGNOSES: ,Fracture of the right femoral neck, also history of Alzheimer's dementia, and hypothyroidism.,DISCHARGE DIAGNOSES: , Fracture of the right femoral neck, also history of Alzheimer's dementia, hypothyroidism, and status post hemiarthroplasty of the hip.,PROCEDURE PERFORMED: ,Hemiarthroplasty, right hip.,CONSULTATIONS: ,Medicine for management of multiple medical problems including Alzheimer's.,HOSPITAL COURSE: , The patient was admitted on 08/06/2007 after a fall with subsequent fracture of the right hip.",,,
forearm,forearm,The forearm is the part of your arm between your wrist and elbow.,1,0.93,2,Discharge Summary - Multiple Trauma,"He had a left tibial plateau fracture, right forearm fracture with ORIF, head laceration, and initially some symptoms of head injury.",,,
ganciclovir,ganciclovir,A medication that helps to treat certain viral infections.,1,0.93,2,Discharge Summary - 7,The patient was started on ganciclovir once her CMV serologies had come back positive.,,,
gestational,gestational,Related to being pregnant.,1,0.93,2,Ectopic Pregnancy - Discharge Summary,"The sonogram stated there was no gestational sac, but there was a small mass within the uterus that could represent a gestational sac.",,,
hives,HIVES,"It's a red, itchy rash caused by allergies that appears as raised bumps.",1,0.93,2,Back Pain - Discharge Summary,"B, the patient's oncologist.,ALLERGIES: , PENICILLIN, AMOXICILLIN, CEPHALOSPORIN, DOXYCYCLINE, IVP DYE, IODINE, and SULFA, all cause HIVES.,Additionally, the patient reports that he has HIVES when he comes in contact with SAP FROM THE MANGO TREE, and therefore, he avoids any mango product at all.,PAST MEDICAL HISTORY: , Status post right orchiectomy secondary to his testicular cancer 18 years ago approximately 1989, GERD, irritable bowel syndrome, seasonal asthma (fall and spring) triggered by postnasal drip, history of bilateral carpal tunnel syndrome, and status post excision of abdominal teratoma and incisional hernia.,FAMILY HISTORY:, Noncontributory.,SOCIAL HISTORY: , The patient is employed in the finance department.",,,
hydralazine,hydralazine,A medication for high blood pressure and heart failure.,1,0.93,2,Discharge Summary - Urology & Nephrology,"He also has history of being a 34-week preemie twin.,ALLERGIES: , No known allergies.,FAMILY HISTORY: , Unremarkable without any bleeding or anesthetic problems.,SOCIAL HISTORY: , The patient lives at home with his parents, 2 brothers, and a sister.,IMMUNIZATIONS:, Up-to-date.,MEDICATIONS: , On admission was Macrodantin, hydralazine, and enalapril.,PHYSICAL EXAMINATION:,GENERAL: The patient is an active little boy.,HEENT: The head and neck exam was grossly normal.",,,
identification,identification,Figuring out who or what someone or something is.,1,0.93,2,Discharge Summary - 8,"Gram-negative rod bacteremia, final identification and susceptibilities still pending.,2.",,,
inflammatory response,inflammatory response,"When the body reacts to an infection by making the area red, warm, and swollen.",1,0.93,2,Pneumonia & COPD - Discharge Summary,"Systemic inflammatory response syndrome.,4.",,,
insulin-dependent diabetes,insulin-dependent diabetes,A type of diabetes where patients need insulin to manage their blood sugar levels.,1,0.93,2,GI Bleed - Discharge Summary,"The patient was admitted to ABCD for further evaluation.,PAST MEDICAL HISTORY: ,Significant for atrial fibrillation, hypertension, osteoarthritis of the knees, hypercholesterolemia, non-insulin-dependent diabetes mellitus, asthma, and hypothyroidism.,PHYSICAL EXAMINATION:,GENERAL: The patient is in no acute distress.,VITAL SIGNS: Stable.,HEENT: Benign.,NECK: Supple.",,,
intracranial hemorrhage,intracranial hemorrhage,Bleeding inside your brain.,1,0.93,2,Neonatal Discharge Summary - 1,"The lab showing normal antegrade flow across the right coronary artery as well as the left main and left anterior descending coronary artery, then the circumflex coronary artery.,CNS:, Infant had a head ultrasound done to rule out intracranial abnormalities and intracranial hemorrhage.",,,
