medical_term,plain_language_explanation,filtering_method
left quadrants,The left quadrants are the left side of the belly.,README-based filtered glossary with task-specific patient-facing relevance filtering
left upper extremity,"It's the arm, wrist, and hand on your left side.",README-based filtered glossary with task-specific patient-facing relevance filtering
left upper lobe,The top part of the left lung.,README-based filtered glossary with task-specific patient-facing relevance filtering
left ventricle,The main pumping chamber of the heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
left ventricular assist,A heart pump that goes inside your body to help your heart work better.,README-based filtered glossary with task-specific patient-facing relevance filtering
left ventricular assist device,A device that helps pump blood through the heart when it's weak or failing.,README-based filtered glossary with task-specific patient-facing relevance filtering
left ventricular ejection fraction,How well the heart's main pumping chamber pushes out blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
left ventricular hypertrophy,Your heart's main pumping chamber has grown bigger and thicker.,README-based filtered glossary with task-specific patient-facing relevance filtering
legionella pneumophila,A bacteria that can give you a severe lung infection called Legionnaires' disease.,README-based filtered glossary with task-specific patient-facing relevance filtering
leiden v deficiency,A genetic condition that increases the risk of blood clotting.,README-based filtered glossary with task-specific patient-facing relevance filtering
leiomyomas,Non-cancerous growths made up of smooth muscle.,README-based filtered glossary with task-specific patient-facing relevance filtering
lens,The lens is like a magnifying glass in your eye that helps you see clearly.,README-based filtered glossary with task-specific patient-facing relevance filtering
lenses,Type of eyewear placed on the eyes for better vision.,README-based filtered glossary with task-specific patient-facing relevance filtering
lenticulostriate,Small arteries in the brain that come from a larger brain artery called the middle cerebral artery.,README-based filtered glossary with task-specific patient-facing relevance filtering
lentiform,"A brain structure important for movement, decision making, and rewards.",README-based filtered glossary with task-specific patient-facing relevance filtering
lepirudin,A medicine that stops the blood from clotting.,README-based filtered glossary with task-specific patient-facing relevance filtering
leptomenigeal,Leptomeningeal means relating to the innermost layers of tissue around the brain and spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
leptomeningeal,Related to the inner layers of tissue surrounding the brain and spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
leptomeningeal carcinomatosis,Cancer spreading to the brain and spinal cord membranes.,README-based filtered glossary with task-specific patient-facing relevance filtering
